1,南北朝時代に斯波氏が築城、現在見る縄張りは鳥居忠政の改修とされ、それまでの二の丸虎口は外枡形または馬出だったが、内枡形に直された城はどれか。,高天神城,山形城,高松城,七尾城,2
2,箱根用水、玉川用水と並んで日本３大用水といわれ、11kmにわたる辰巳用水が水を供給している城はどれか。,金沢城,松代城,高岡城,膳所城,1
3,本丸を輪のように二の丸、三の丸で取り囲んだ輪郭式の縄張りでない城はどれか。,高田城,篠山城,駿府城,岡山城,4
4,本丸と二の丸、三の丸が一直線に並んだ縄張りである連郭式に当てはまらない城はどれか。,盛岡城,大垣城,島原城,小田原城,4
5,天守の階段は多くの場合、硬くてすり減りにくく、軽くて取りつけやすいとされる木材が使われている。それはどれか。,桐,檜,杉,楢,1
6,城内に井戸は無く、城内の用水は土管の水道に頼っていたことが、城内水筋絵図に示されている海城はどれか。,今治城,高松城,赤穂城,三原城,3
7,肥前名護屋城は黒田孝高の縄張りといわれているが、普請奉行は3名だった。次の中で普請奉行でないのは誰か。,加藤清正,福島正則,小西行長,黒田長政,2
8,関ヶ原の戦い後、次の戦いに備えて慶長の築城ラッシュとなった。徳川城郭の特徴は、平面プランがほとんど共通していて、省エネ城郭と言える。篠山城と相似形の城とされるのはどれか。,水口城,淀城,伏見城,名古屋城,4
9,秀吉が築城した京都の聚楽第の縄張的遺構とも考えられ、今なお市内に一部残る遺構はどれか。,御枡形,御石塁,御馬出し,御土居,4
10,約1.5キロに及ぶ監物堀と呼ばれる長大な堀と土塁の「総構え」の一部が残る中世の城はどれか。,七尾城,春日山城,箕輪城,新発田城,2
11,城石垣の石材の運搬は、陸上では古墳石室の石材運搬などに古くから行われてきた、多数の丸太を敷いてその上のソリに石を乗せて綱で引いて運搬した。このソリを何というか。,修羅,二股,船板,陸舟,1
12,沖縄諸島のグスクの石垣は本土の近世城郭石垣にはない特徴がある。その特徴の記述で誤りはどれか。,石垣は垂直に近い。,壮大な石垣で曲線を描いている。,算木積みが使われていない。,扇の石垣のような反りはある。,4
13,石垣用の積石は火山岩石系が多いが、地場の珍しい石材を使用している城もある。次のうちのどれか。,徳島城,岡山城,松山城,広島城,1
14,二条城本丸御殿は平成19年春を最後に見学中止、小田原城天守は平成27年7月から10か月にわたって閉鎖される。この二件に共通する背景はなにか。,防火基準に合わない,耐震基準を満たしていない,観光対策,木造で再建計画,2
15,天正11年（1583年）黒田孝高は大坂城築城に参画する。その役職はどれか。,普請惣奉行,作事総奉行,縄張奉行,築城総取締,1
16,15世紀に奥山氏が創築、武田氏の要衝であった山城で、昭和62年以後城の復元整備が開始され、中世の山城の土塁や堀、建物などがほぼ完全に復元された希少事例の城はどれか。,蒲原城,久能城,高根城,沼津城,3
17,石垣を築くために根石が使われるが、根石の説明で間違いはどれか。,山城では根石を使わない,石垣の基礎となる石,堀の底の胴木の上に根石を置く,根石の上に積石を積み上げる,1
18,関ヶ原の戦い後、城の大改修や築城が急増したが、それらの城の石垣では石垣技術の進歩が効果的に活用された。それはどの技術か。,亀甲積,打込接,算木積,谷積,3
19,城の防備に欠かせない土塁の部分にはそれぞれ名称がある。土塁の上の部分は何というか。,敷（しき）,褶（ひらみ）,犬走（いぬばしり）,法（のり）,2
20,彦根城の天秤櫓の右側の石垣は築城当時のものとされているがその積方はどれか。,谷積,牛蒡積,亀甲積,布積,2
21,戦国時代初期に築かれ、のちに武田氏、上杉氏、後北条氏、徳川氏の城となった箕輪城の石垣はどの武将が築いたとされているか。,上杉謙信,武田信玄,井伊直政,北条氏邦,3
22,中世の山城で山の斜面を縦に切る竪堀の幅は一般的にどれくらいか。,5m,3m,20m,10m,4
23,月山富田城などで見られる低い石垣を段々に積み上げる工法を何というか。,野面築,段築,乗築,上向築,2
24,キリシタン大名・高山右近の縄張りと伝わる高岡城は現在ほとんどが土塁だが1箇所石垣が残っている。それは何処か。,櫓台,天守台,土橋台,城門,3
25,江戸城の天守は3度建てられているが、国立歴史民俗博物館所蔵の「江戸図屏風」に描かれている天守はどの時期の天守とされているか。,慶長天守,元和天守,寛永天守,元禄天守,3
26,明治天皇が江戸入城時に入った門で、江戸城の西の丸下にある枡形門はどれか。,馬場先門,内桜田門,和田倉門,日比谷門,3
27,元和の一国一城令で廃城となったが、その後復興した現存天守はどれか。,丸亀城,宇和島城,備中松山城,丸岡城,1
28,重要文化財の赤門は加賀藩前田家江戸屋敷の御守殿門だったが、東京国立博物館にある重要文化財の黒門はどの藩の江戸屋敷にあったか。,水戸藩,鳥取藩,白河藩,紀州藩,2
29,江戸城内最大規模の百人番所で警備にあたっていた鉄砲100人組でないのはどれか。,伊賀組,根来組,25騎馬,風魔組,4
30,名古屋城の天守と小天守を結ぶ一種の廊下橋を何と呼ぶか。,繋ぎ台,橋台,矢倉台,廊下台,2
31,太田道真、道灌父子が築城、後に扇谷・山内の両上杉氏・古河公方方が攻めた日本三大夜戦に数えられる戦いで、後北条氏が奪取した城はどこか。,江戸城,鉢形城,滝山嬢（←「城」の変換ミスか？）,川越城,4
32,城山川を挟んだ対岸尾根筋に4つの堀切があり、山麓御主殿の枡形虎口は三度曲がる石段がある厳重な防御の山城はどこか。,朝倉氏館,武田氏館,金山城,八王子城,4
33,残虐行為・謀略などで戦国時代を勝ち抜き、松永久秀、斎藤道三とともに戦国の三悪人（梟雄）の一人と言われた武将は誰か。,宇喜多直家,北条早雲,毛利元就,伊達政宗,1
34,会津藩主松平容保は会津戦争降伏後、どのような処遇を受けたか。,日光東照宮神主,明治政府預かり,尾張藩名古屋城蟄居,紀州藩預かり,1
35,江戸時代末期、黒船来航に対する沿岸防備のための台場と言われる砲台が全国に築かれた。その数はどれぐらいか。,100,300,500,800,4
36,北条早雲が相模を統一した過程で、相模の有力部族三浦氏を追い詰め滅ぼした最後の城はどれか。,新井城,玉縄城,大庭城,韮山城,1
37,石落はその外観から、名古屋城西南隅櫓の出窓に設けた出窓型および伊予松山城北隅櫓の雨戸の戸袋のような戸袋型などがある。広島城天守の外壁の裾を斜めに張り出させた型は何型とされるか。,袴腰,裾,袴,腰,1
38,天守を飾る代表的な意匠に破風があるが、その中でもっとも装飾性が高いとされているのはどれか。,千鳥破風,切妻破風,唐破風,入母屋破風,3
39,天守を防備するための出窓だが、格式を重んじて屋根は瓦葺きの切妻破風などが使われた。白木の出格子に板葺の屋根という簡単な作りの出窓がある天守はどれか。,丸亀城,福山城,丸岡城,宇和島城,3
40,金沢城がある場所には織田信長に平定されるまで一向一揆の拠点があった。その拠点は何と呼ばれていたか。,吉崎御坊,瑞泉寺,石山本願寺,尾山御坊,4
41,名古屋城に現存する三重櫓、西北隅櫓は近くの城から移築したものと伝えられる。どの城か。,小牧山城,清洲城,那古屋城,岐阜城,2
42,朝鮮半島の倭城に多く見られる「登り石垣」は文禄慶長の役の後、日本でも作られ松山城や彦根城以外にも残っている。それはどこか。,唐津城,福岡城,名護屋城,洲本城,4
43,現在石垣の分類に一般的に使用されている「野面積み」・「打込接」・「切込接」という言葉は、江戸中期の儒学者が書いた鈐録で使用され定着したものだが、その儒学者は誰か。,荻生徂徠,新井白石,山鹿素行,林子平,1
44,戦国期から江戸時代にかけての武将細川忠興についての記述で正しくないのはどれか。,初代小倉藩主であった。,妻は明智光秀の娘である。,中津城主でもあった。,秀吉の許しで一時木下の姓を名乗った。,4
45,石垣の下の部分が緩やかな勾配で、上に行くに従って急勾配になる石垣は扇の勾配と呼ばれるが、別の呼び方はどれか。,宮勾配,寺勾配,高虎勾配,郭勾配,2
46,虎口の防御力を高めるため、虎口の前後に障壁として土塁を構えたものを何というか。,内枡形虎口,喰違虎口,一文字土居,丸馬出,3
47,虎口前面を防備する馬出は武田氏の城で多用されているが、近世城郭でも使われた。次の中で馬出を持っていない城はどれか。,名古屋城,徳川大坂城,篠山城,松本城,2
48,虎口防御の馬出で巨大な角馬出が残る土塁の城はどれか。,諏訪原城,新府城,広島城,佐倉城,4
49,江戸軍学にはいくつかの流派があった。次の中で軍学流派ではないのはどれか。,甲州流,越後流,遠州流,長沼流,3
50,大規模山城は一般的に曲輪の数が多い。次の中で曲輪がもっとも多い城はどれか。,小谷城,吉田郡山城,春日山城,観音寺城,2
51,土塁を補強するため、土塁の上部に石垣を築いたものを鉢巻石垣と言うが、次の中で鉢巻石垣が多用されているのはどれか。,江戸城,丸亀城,津山城,高知城,1
52,石垣の積石の裏には、石積み断面に作用する土圧を少なくするためと、排水の機能を持たせるために石をぎっしり詰めて有る。この石の名称はどれか。,裏込石,飼石,根石,間詰石,1
53,堀底の形状から名付けられた薬研堀の説明で間違いはどれか。,中世の山城に多い,漢方薬を作る道具が由来である,近世城郭の広大な水堀に多い,竪堀に多い,3
54,城壁に迫る敵兵を2方向以上から攻撃するため城郭の石垣や土塁の隅部を内側に折り曲げた横矢の基本形は何というか。,入隅,出隅,合横矢,屏風折,1
55,月山富田城を本城とした尼子氏は中国地方の覇権を争っていた武将に攻められ降伏、開城した。その武将とは誰か。,大内義隆,陶晴賢,毛利元就,毛利輝元,3
56,城の建築に関わった大工の棟梁で著名な中井正清は、誰に召し抱えられたか。,織田信長,豊臣秀吉,徳川家康,前田利家,3
57,現存天守の中で天守自体が一番高いのは姫路城で約31メートルだが、一番低いのはどの城か。,宇和島城,備中松山城,丸岡城,丸亀城,2
58,本能寺の変の際、織田信忠とともに二条城に居たが脱出、その後国宝茶室「如庵」を造った信長の弟はだれか。,織田信雄,織田信考（←「孝」のミスプリか？）,織田信包,織田長益,4
59,近年、エッゲンベルク城(オーストリア)で、日本の慶長期の著名な城や城下が描かれた貴重な日本屏風が発見され話題となった。その城はどれか。,名古屋城,仙台城,大坂城,江戸城,3
60,信長が安土城を描かせ、ローマ法王グレゴリオⅢ世に献上したまま行方不明になっている屏風があるが、信長が描かせた絵師はだれか。,狩野山楽,狩野永徳,海北友松,長谷川等伯,2
61,層塔型天守は寺院の塔のように下重の部材の上に上重の柱を立て、四方へ葺き下ろすだけの屋根を積み上げた形式である。層塔型天守の下重の部材はなんと言うか。,柱,屋根,部屋,梁,4
62,天文24年（1555）に行われた厳島の戦いの際、毛利元就により厳島に築かれた城はどれか。,宮尾城,桜尾城,宮原城,尾首城,1
63,三大山城の一つで江戸時代は畳橋と言う名の橋を渡って大手門に入った城はどれか。,高取城,金山城,備中松山城,岩村城,4
64,前身は馬場城と呼ばれ江戸氏の居城だったが、秀吉の北条征伐後、佐竹氏がこの城を奪い本城を太田城からこの城に移動した。その城はどれか。,江戸城,川越城,水戸城,佐倉城,3
65,上杉方の岩松家純が古河公方足利成氏に対抗するための拠点として築いた城で、太田道灌が訪れた際、「天下の名城」と称えたとされる城はどれか。,沼田城,金山城,高崎城,足利氏館,2
66,徳川家光の上洛のために宿館として築城、その後の将軍が利用することはなかった城はどれか。,水口城,名古屋城,伏見城,宇都宮城,1
67,天守という言葉が初めて現れる古文書は「細川両家記」といわれている。その天守の城はどれか。,摂津伊丹城,尾張楽田城,大和信貴山城,大和多聞城,1
68,法令公布時点で存在した天守が公式天守、それ以後に創建されたものが非公式天守すなわち三階櫓と書類上で処理された。この法令とはどれか。,天守区分令,武家諸法度,天守禁止令,武家築城令,2
69,入母屋造りと切妻造りの屋根は、両端に妻壁という三角形の垂直な壁面ができるが、この部分はなんというか。,破風,三角壁,三角妻,隅棟,1
70,発掘調査によって11世紀ごろの築城とされ、東北地方で日本最古の山城と注目されている大鳥井山遺跡はどこにあるか。,秋田県,岩手県,青森県,山形県,1
71,四国の覇者だった長宗我部元親の居城は連郭式山城で、国指定史跡である。それはどれか。,安芸城,本山城,岡豊城,池田城,3
72,直線的高石垣など新しい築城法を確立した築城の名手、藤堂高虎に最初に築城を命じた武将は誰か。,豊臣秀吉,竹中半兵衛,前田利家,羽柴秀長,4
73,現存櫓と城名の組み合わせで正しくないのはどれか。,辰巳付櫓―松本城,月見櫓―岡山城,野原櫓―丸亀城,坤櫓―明石城,3
74,土塁はその作り方で名称が異なるが、たたき土塁は次のどれか。,土塁に竹笹を植えてたたき固める,法面の崩れを防ぐため芝を植え、そのあと叩いて固める,土塁の下の部分に石垣を築き補強する,粘土や小石を土に混ぜて突き固める,4
75,慶応2年（1866）の第二次長州征伐の際に幕府軍が敗走する中で焼失した城はどれか。,益田城,山口城,浜田城,高嶺城,3
76,幕末、海防強化のため築かれた松前城は搦め手口からの攻撃により1日で落城した。攻撃部隊の指揮官は誰か。,土方歳三,板垣退助,榎本武揚,桐野利秋,1
77,天守には籠城戦に備えていろいろな設備がつくられているが、囲炉裏がある唯一の天守はどれか。,久保田城,新発田城,備中松山城,松江城,3
78,大手門跡の北の岩盤の上に高石垣が築かれており、近年岩盤崩落について調査が行われた山城はどれか。,月山富田城,津和野城,備中松山城,観音寺城,3
79,石垣山一夜城の正式な史跡名は次のうちどれか。,史跡石垣山一夜城,史跡石垣山城,史跡石垣山,史跡一夜城,3
80,函館戦争の際、蝦夷共和国が築いた四稜郭の遺構はどこにあるか。,室蘭市,松前町,森町,函館市,4
81,城の修復には将軍の許可を規定した武家諸法度だが、寛永12年に改訂されて元通りに修復すれば届け出なくてもよくなったのはどれか。,石垣,土塁,櫓,堀,3
82,彦根城の天守に多用されている懸魚は次のどれか。◯,梅鉢懸魚,貝頭懸魚,蕪懸魚,三花蕪懸魚,1
83,曲輪の隅に作られる二重櫓は様々な形状があるが、L字型をした特異な二重櫓はどれか。,岡山城西の手櫓,二条城西南隅櫓,大坂城二の丸乾櫓,江戸城桜田巽櫓,3
84,枡形虎口で前後に高麗門と櫓門を備えていないのはどれか。,丸亀城大手門,大坂城大手門,弘前城大手門,金沢城石川門,3
85,京都・清水寺の舞台の懸造りは有名だが、城内にその形式の建物があった城はどれか。,名古屋城,江戸城,仙台城,水戸城,3
86,徳川幕府の一国一城令の後も残された支城がある。鳥取の池田氏で残された支城はどれか。,米子城,松江城,浜田城,出石城,1
87,鬼ノ城は「日本書紀」などに記載のない謎の城であるが、どの分類に属するか。,朝鮮式山城,神籠石系古代山城,大和式山城,中国式山城,2
88,多賀城には、蝦夷を支配するため東北地方の朝廷最大の基地として、陸奥国府・鎮守府が置かれた。多賀城はどの時代に築かれたか。,奈良時代,大和（飛鳥）時代,鎌倉時代,平安時代,1
89,天正18（1590）年の秀吉軍の八王子城攻めの際、従軍しなかった武将は次のうち誰か。,前田利家,上杉景勝,真田昌幸,石田三成,4
90,太田川の中洲に造られた広島城の内堀の幅は最大でどれくらいだったか。,50m,20m,100m,70m,3
91,根城は諸城破却令によって破壊されたが、破却令を出した武将は誰か。,豊臣秀吉,織田信長,徳川家康,伊達正宗,1
92,東北地方では珍しい内郭が総石垣の盛岡城は完成に何年かかったか。,約10年,約5年,約40年,約20年,3
93,関ヶ原の戦いの後、出羽に転封された佐竹氏が築いた久保田城は以前の居城の水戸城と異なる点がある。次のどれか。,大規模な塁濠,縄張,丘陵立地,石垣不使用,2
94,萩城の記述に関して誤っているのはどれか。,邪（ひずみ）形式の横矢,雁木形式の石垣,三の丸に船着き場,5層5階の複合式層塔型天守,4
95,福島正則は幕府に届けず広島城を修復し、改易となったが、修復した場所は何処か。,櫓,天守,石垣,城門,3
96,蒲生氏郷築城の松坂城は江戸時代初期から大藩の支城となった。それはどの藩か。,津藤堂藩,尾張徳川藩,紀伊徳川藩,桑名松平藩,3
97,大洲城は現在四重四階の天守が木造で復元されているが、元の天守はいつまで存在したか。,1868年,1690年,1945年,1888年,4
98,人吉城は中世以来の城郭だが、石垣上端に「刎出（はねだし）」がある所が有る。それは何処か。,御館,本丸,二の丸,外郭,1
99,諏訪氏の本城上原城には山麓に広大な居館跡がある。この居館跡はゆかりの人物の名で呼ばれているが、それはどれか。,板垣平,諏訪平,上杉平,武田平,1
100,世界遺産に登録されている沖縄のグスクは5つある。首里城、中城城、座喜味城、今帰仁城の他、次のどれか。,糸数城,南山城,世之主城,勝連城,4
